GEOID,County,State,measure,value
08014,Broomfield County,Colorado,Annual Unemployment Rate,0.032521072092969845
08015,Chaffee County,Colorado,Annual Unemployment Rate,0.0521875
08017,Cheyenne County,Colorado,Annual Unemployment Rate,0.019271948608137045
08019,Clear Creek County,Colorado,Annual Unemployment Rate,0.0418702023726448
08021,Conejos County,Colorado,Annual Unemployment Rate,0.046357615894039736
08023,Costilla County,Colorado,Annual Unemployment Rate,0.04528012279355334
08025,Crowley County,Colorado,Annual Unemployment Rate,0.05555555555555555
08027,Custer County,Colorado,Annual Unemployment Rate,0.0559889857732905
08029,Delta County,Colorado,Annual Unemployment Rate,0.03151907733628249
08031,Denver County,Colorado,Annual Unemployment Rate,0.045988871616285724
08033,Dolores County,Colorado,Annual Unemployment Rate,0.025223759153783564
08035,Douglas County,Colorado,Annual Unemployment Rate,0.03550684618460894
08037,Eagle County,Colorado,Annual Unemployment Rate,0.04196717419048467
08039,Elbert County,Colorado,Annual Unemployment Rate,0.02992825418517253
08041,El Paso County,Colorado,Annual Unemployment Rate,0.05462822043646836
08043,Fremont County,Colorado,Annual Unemployment Rate,0.043691169269274716
08045,Garfield County,Colorado,Annual Unemployment Rate,0.03638168155394868
08047,Gilpin County,Colorado,Annual Unemployment Rate,0.029713968342127188
08049,Grand County,Colorado,Annual Unemployment Rate,0.04418057338468122
08051,Gunnison County,Colorado,Annual Unemployment Rate,0.03662833827893175
08053,Hinsdale County,Colorado,Annual Unemployment Rate,0.015384615384615385
08055,Huerfano County,Colorado,Annual Unemployment Rate,0.11075441412520064
08057,Jackson County,Colorado,Annual Unemployment Rate,0.0954356846473029
08059,Jefferson County,Colorado,Annual Unemployment Rate,0.03872959069559383
08061,Kiowa County,Colorado,Annual Unemployment Rate,0.0
08063,Kit Carson County,Colorado,Annual Unemployment Rate,0.02795820389720418
08065,Lake County,Colorado,Annual Unemployment Rate,0.02286198137171888
08067,La Plata County,Colorado,Annual Unemployment Rate,0.031302086805787055
08069,Larimer County,Colorado,Annual Unemployment Rate,0.045285460132621705
08071,Las Animas County,Colorado,Annual Unemployment Rate,0.055873925501432664
08073,Lincoln County,Colorado,Annual Unemployment Rate,0.018047200370198982
08075,Logan County,Colorado,Annual Unemployment Rate,0.05609284332688588
08077,Mesa County,Colorado,Annual Unemployment Rate,0.051118454499237416
08079,Mineral County,Colorado,Annual Unemployment Rate,0.07451923076923077
08081,Moffat County,Colorado,Annual Unemployment Rate,0.04005461993627674
08083,Montezuma County,Colorado,Annual Unemployment Rate,0.04480041117012164
08085,Montrose County,Colorado,Annual Unemployment Rate,0.04239603359303855
08087,Morgan County,Colorado,Annual Unemployment Rate,0.041978187804376156
08089,Otero County,Colorado,Annual Unemployment Rate,0.04580520732883317
08091,Ouray County,Colorado,Annual Unemployment Rate,0.03213995117982099
08093,Park County,Colorado,Annual Unemployment Rate,0.03521434820647419
08095,Phillips County,Colorado,Annual Unemployment Rate,0.00786308973172988
08097,Pitkin County,Colorado,Annual Unemployment Rate,0.015374202281957069
08099,Prowers County,Colorado,Annual Unemployment Rate,0.04751884972821322
08101,Pueblo County,Colorado,Annual Unemployment Rate,0.05414326403492427
08103,Rio Blanco County,Colorado,Annual Unemployment Rate,0.04339185160649221
08105,Rio Grande County,Colorado,Annual Unemployment Rate,0.07969605937444778
08107,Routt County,Colorado,Annual Unemployment Rate,0.024608967674661104
08109,Saguache County,Colorado,Annual Unemployment Rate,0.07875516036837091
08111,San Juan County,Colorado,Annual Unemployment Rate,0.06726457399103139
08113,San Miguel County,Colorado,Annual Unemployment Rate,0.04136833731105807
08115,Sedgwick County,Colorado,Annual Unemployment Rate,0.022628372497824196
